# GPUs,global batch,micro batch,hidden size,attention heads,# layers,sequence length,tensor parallelism,data parallelism,pipeline parallelism,iteration time (ms)
8,16,2,1024,16,12,1024,1,2,4,112.47593
2,16,4,2048,16,20,1024,2,1,1,544.041508
4,64,2,1024,16,12,1024,1,4,1,396.343907
2,16,2,1024,16,20,1024,2,1,1,608.955142
8,16,8,1024,16,20,1024,8,1,1,193.783249
8,64,2,2048,16,12,1024,1,8,1,324.224592
8,16,4,2048,16,24,1024,8,1,1,467.602073
8,64,4,2048,16,20,1024,1,8,1,454.973072
2,16,1,1024,16,16,1024,1,1,2,512.200029
8,4,1,2048,16,20,1024,4,1,2,165.602398
8,128,1,2048,16,12,1024,1,8,1,816.114145
8,8,4,2048,16,12,1024,8,1,1,123.597405
4,16,2,1024,16,20,1024,4,1,1,563.177579
8,64,4,1024,16,16,1024,2,4,1,235.27877
4,16,1,2048,16,12,1024,1,4,1,219.915319
8,16,2,2048,16,16,1024,2,4,1,175.44627
8,32,8,1024,16,12,1024,4,2,1,133.647787
8,32,4,1024,16,16,1024,2,2,2,155.40425
4,64,2,1024,16,20,1024,1,4,1,602.022079
8,16,1,2048,16,20,1024,1,2,4,275.236048
8,16,1,2048,16,16,1024,8,1,1,1268.96832
2,16,4,2048,16,12,1024,2,1,1,340.857908
4,2,1,2048,16,20,1024,2,1,2,116.475948
8,16,2,1024,16,20,1024,1,4,2,122.461544
8,64,2,1024,16,24,1024,1,4,2,431.431806
4,64,2,2048,16,16,1024,1,4,1,785.970714
8,32,1,1024,16,16,1024,1,2,4,333.100765
8,64,8,1024,16,16,1024,2,4,1,208.393141
4,64,8,1024,16,12,1024,1,4,1,277.744795
4,16,8,1024,16,12,1024,2,1,2,125.900205
4,8,1,1024,16,20,1024,2,2,1,285.797746
8,16,2,2048,16,16,1024,1,2,4,220.536469
8,64,4,1024,16,16,1024,1,4,2,279.430369
4,4,1,1024,16,12,1024,2,2,1,90.570342
8,16,1,1024,16,24,1024,4,1,2,741.92159
8,64,4,1024,16,20,1024,1,8,1,248.184402
8,16,1,1024,16,20,1024,2,2,2,325.794657
8,2,1,1024,16,20,1024,4,1,2,110.004558
8,16,4,1024,16,16,1024,4,2,1,138.611885
2,8,2,1024,16,20,1024,1,2,1,157.546899
8,8,2,2048,16,12,1024,4,1,2,104.594492
8,4,2,2048,16,12,1024,8,1,1,102.102657
8,16,4,2048,16,12,1024,8,1,1,245.282573
8,32,4,1024,16,12,1024,2,4,1,93.798182
2,4,2,2048,16,20,1024,1,1,2,193.448269
8,16,8,1024,16,20,1024,2,1,4,171.196993
4,4,2,2048,16,16,1024,1,1,4,142.300869
8,16,4,1024,16,12,1024,4,2,1,106.947837
2,16,2,1024,16,16,1024,2,1,1,493.75987
4,8,1,1024,16,16,1024,1,2,2,150.652377
8,32,8,2048,16,16,1024,4,2,1,267.615445
8,2,1,2048,16,12,1024,8,1,1,121.848206
2,32,4,1024,16,20,1024,1,2,1,483.049672
4,8,4,2048,16,12,1024,4,1,1,138.446442
4,16,4,1024,16,12,1024,2,2,1,93.350082
8,64,2,1024,16,12,1024,2,4,1,380.406898
4,2,1,2048,16,24,1024,1,1,4,128.539442
4,64,8,2048,16,16,1024,1,4,1,688.718146
2,16,2,1024,16,24,1024,1,1,2,428.535606
4,16,4,2048,16,16,1024,1,2,2,299.490591
8,4,2,2048,16,12,1024,2,1,4,86.499024
8,2,1,2048,16,24,1024,2,1,4,115.69868
4,32,2,2048,16,24,1024,1,4,1,570.150663
4,2,1,1024,16,20,1024,1,1,4,91.312755
8,8,4,1024,16,24,1024,2,1,4,113.119636
8,16,1,2048,16,16,1024,4,2,1,416.936093
2,32,1,2048,16,16,1024,1,2,1,1030.305055
4,16,8,1024,16,20,1024,1,1,4,287.432134
4,4,2,1024,16,20,1024,2,1,2,117.588476
8,32,2,1024,16,12,1024,2,4,1,192.20391
8,16,2,1024,16,16,1024,4,1,2,266.626705
8,32,1,2048,16,20,1024,1,2,4,488.801512
2,16,8,2048,16,16,1024,2,1,1,376.096827
8,16,2,1024,16,20,1024,2,4,1,157.192252
8,32,1,2048,16,20,1024,4,2,1,1019.191101
4,8,2,2048,16,20,1024,4,1,1,244.366502
8,16,1,2048,16,12,1024,4,1,2,356.521806
8,64,8,2048,16,12,1024,1,4,2,452.570593
4,32,1,1024,16,16,1024,2,2,1,913.957334
2,8,1,1024,16,20,1024,2,1,1,564.58593
4,4,1,1024,16,20,1024,1,2,2,108.849175
8,4,1,2048,16,12,1024,8,1,1,241.813744
4,16,1,2048,16,12,1024,2,1,2,410.01542
8,8,4,1024,16,12,1024,2,1,4,65.078683
8,32,1,1024,16,24,1024,4,2,1,1373.163443
4,4,1,2048,16,16,1024,1,2,2,115.084178
8,16,1,2048,16,16,1024,4,1,2,458.557526
2,16,2,2048,16,16,1024,2,1,1,646.23686
8,8,1,1024,16,24,1024,2,2,2,215.252555
4,8,2,2048,16,16,1024,4,1,1,199.355698
4,8,2,1024,16,12,1024,4,1,1,175.843511
4,16,8,2048,16,24,1024,1,1,4,652.781365
8,32,4,2048,16,16,1024,1,2,4,403.781711
2,8,2,1024,16,24,1024,2,1,1,363.963618
2,16,1,1024,16,12,1024,2,1,1,698.57797
8,16,8,2048,16,20,1024,2,1,4,311.90285
8,64,4,1024,16,24,1024,1,4,2,380.046345
8,8,4,1024,16,12,1024,4,1,2,82.486278
4,16,8,2048,16,20,1024,1,1,4,570.186829
8,32,2,1024,16,16,1024,1,2,4,226.590734
8,8,2,1024,16,24,1024,1,2,4,121.575132
